,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject,SurveyCode,Status,ID
0,375VMB7D4JJ2M3YIS53T5BNROJKID7,3WSO80OI825B2ZWEEP4UF3E3XEE4L4,Predict future events related to criminal activity,Predict whether criminal offenders will commit future crimes based on demographics and criminal history. Earn up to $3 bonus for accuracy ($1.50 average).,"survey, demographics",$2.00,Thu Nov 19 16:06:28 PST 2020,10,BatchId:4256520;OriginalHitTemplateId:920937340;,3600,259200,Thu Nov 26 16:06:28 PST 2020,,,352YTHGROVDSDV2ZJEPHRFOXGGVH4L,A1AZ97YYFVWFGC,Submitted,Thu Nov 19 17:07:06 PST 2020,Thu Nov 19 17:23:51 PST 2020,Sun Nov 22 17:23:51 PST 2020,,,,1005,100% (1/1),100% (1/1),0% (0/0),PiNSUa,x,,PiNSUa,Completed,71
1,375VMB7D4JJ2M3YIS53T5BNROJKID7,3WSO80OI825B2ZWEEP4UF3E3XEE4L4,Predict future events related to criminal activity,Predict whether criminal offenders will commit future crimes based on demographics and criminal history. Earn up to $3 bonus for accuracy ($1.50 average).,"survey, demographics",$2.00,Thu Nov 19 16:06:28 PST 2020,10,BatchId:4256520;OriginalHitTemplateId:920937340;,3600,259200,Thu Nov 26 16:06:28 PST 2020,,,39RP059MEHTYQ8OJPQFHRY2Z7UBMB5,A3GLUDQZGEJL5G,Submitted,Thu Nov 19 16:06:44 PST 2020,Thu Nov 19 16:25:38 PST 2020,Sun Nov 22 16:25:38 PST 2020,,,,1134,0% (0/0),0% (0/0),0% (0/0),OGjkLe,x,,OGjkLe,Completed,6
2,375VMB7D4JJ2M3YIS53T5BNROJKID7,3WSO80OI825B2ZWEEP4UF3E3XEE4L4,Predict future events related to criminal activity,Predict whether criminal offenders will commit future crimes based on demographics and criminal history. Earn up to $3 bonus for accuracy ($1.50 average).,"survey, demographics",$2.00,Thu Nov 19 16:06:28 PST 2020,10,BatchId:4256520;OriginalHitTemplateId:920937340;,3600,259200,Thu Nov 26 16:06:28 PST 2020,,,3A7Y0R2P2OOF23LZRPU7031AM34JX7,A15VCKELIEEPJN,Submitted,Thu Nov 19 16:06:43 PST 2020,Thu Nov 19 16:17:28 PST 2020,Sun Nov 22 16:17:28 PST 2020,,,,645,0% (0/0),0% (0/0),0% (0/0),e41JnH,x,,e41JnH,Completed,3
3,375VMB7D4JJ2M3YIS53T5BNROJKID7,3WSO80OI825B2ZWEEP4UF3E3XEE4L4,Predict future events related to criminal activity,Predict whether criminal offenders will commit future crimes based on demographics and criminal history. Earn up to $3 bonus for accuracy ($1.50 average).,"survey, demographics",$2.00,Thu Nov 19 16:06:28 PST 2020,10,BatchId:4256520;OriginalHitTemplateId:920937340;,3600,259200,Thu Nov 26 16:06:28 PST 2020,,,3AAJC4I4FGS47YLES7ISXOHLU32JZ4,A2P065E9CYMYJL,Submitted,Thu Nov 19 16:06:44 PST 2020,Thu Nov 19 17:02:03 PST 2020,Sun Nov 22 17:02:03 PST 2020,,,,3319,0% (0/0),0% (0/0),0% (0/0),PiTH5Z,x,,PiTH5Z,Completed,50
4,375VMB7D4JJ2M3YIS53T5BNROJKID7,3WSO80OI825B2ZWEEP4UF3E3XEE4L4,Predict future events related to criminal activity,Predict whether criminal offenders will commit future crimes based on demographics and criminal history. Earn up to $3 bonus for accuracy ($1.50 average).,"survey, demographics",$2.00,Thu Nov 19 16:06:28 PST 2020,10,BatchId:4256520;OriginalHitTemplateId:920937340;,3600,259200,Thu Nov 26 16:06:28 PST 2020,,,3GS6S824SQXWWT7UWIQDRR4KML3WNV,A1QUBLZCONL4QD,Submitted,Thu Nov 19 16:06:44 PST 2020,Thu Nov 19 16:18:16 PST 2020,Sun Nov 22 16:18:16 PST 2020,,,,692,0% (0/0),0% (0/0),0% (0/0),wJ2mnD,x,,wJ2mnD,Completed,4
5,375VMB7D4JJ2M3YIS53T5BNROJKID7,3WSO80OI825B2ZWEEP4UF3E3XEE4L4,Predict future events related to criminal activity,Predict whether criminal offenders will commit future crimes based on demographics and criminal history. Earn up to $3 bonus for accuracy ($1.50 average).,"survey, demographics",$2.00,Thu Nov 19 16:06:28 PST 2020,10,BatchId:4256520;OriginalHitTemplateId:920937340;,3600,259200,Thu Nov 26 16:06:28 PST 2020,,,3LPW2N6LKT2FE0CJXIFQFMJ1AKSU54,AKK6H2YXK4RF6,Submitted,Thu Nov 19 16:59:14 PST 2020,Thu Nov 19 17:09:52 PST 2020,Sun Nov 22 17:09:52 PST 2020,,,,638,0% (0/0),0% (0/0),0% (0/0),D5EEIf,x,,D5EEIf,Completed,56
6,375VMB7D4JJ2M3YIS53T5BNROJKID7,3WSO80OI825B2ZWEEP4UF3E3XEE4L4,Predict future events related to criminal activity,Predict whether criminal offenders will commit future crimes based on demographics and criminal history. Earn up to $3 bonus for accuracy ($1.50 average).,"survey, demographics",$2.00,Thu Nov 19 16:06:28 PST 2020,10,BatchId:4256520;OriginalHitTemplateId:920937340;,3600,259200,Thu Nov 26 16:06:28 PST 2020,,,3SPJ0334213428B9WLG9JH8JO9YJYD,A2G7F16RAOFTXG,Submitted,Thu Nov 19 17:06:45 PST 2020,Thu Nov 19 17:20:25 PST 2020,Sun Nov 22 17:20:25 PST 2020,,,,820,0% (0/0),0% (0/0),0% (0/0),AfPtcV,x,,AfPtcV,Completed,63
7,375VMB7D4JJ2M3YIS53T5BNROJKID7,3WSO80OI825B2ZWEEP4UF3E3XEE4L4,Predict future events related to criminal activity,Predict whether criminal offenders will commit future crimes based on demographics and criminal history. Earn up to $3 bonus for accuracy ($1.50 average).,"survey, demographics",$2.00,Thu Nov 19 16:06:28 PST 2020,10,BatchId:4256520;OriginalHitTemplateId:920937340;,3600,259200,Thu Nov 26 16:06:28 PST 2020,,,3TY7ZAOG5FK2GXL66Y5CS4ECRLJK0C,A9URFI60ZTA4V,Submitted,Thu Nov 19 16:06:44 PST 2020,Thu Nov 19 16:37:18 PST 2020,Sun Nov 22 16:37:18 PST 2020,,,,1834,0% (0/0),0% (0/0),0% (0/0),J4sT0S,x,,J4sT0S,Completed,5
8,375VMB7D4JJ2M3YIS53T5BNROJKID7,3WSO80OI825B2ZWEEP4UF3E3XEE4L4,Predict future events related to criminal activity,Predict whether criminal offenders will commit future crimes based on demographics and criminal history. Earn up to $3 bonus for accuracy ($1.50 average).,"survey, demographics",$2.00,Thu Nov 19 16:06:28 PST 2020,10,BatchId:4256520;OriginalHitTemplateId:920937340;,3600,259200,Thu Nov 26 16:06:28 PST 2020,,,3YWRV122CSZY1IVLVGMTR6TSCATU86,A1BQ23IXXOJRRL,Submitted,Thu Nov 19 18:07:14 PST 2020,Thu Nov 19 18:36:31 PST 2020,Sun Nov 22 18:36:31 PST 2020,,,,1757,0% (0/0),0% (0/0),0% (0/0),Aq0MhV,x,,Aq0MhV,Completed,110
9,375VMB7D4JJ2M3YIS53T5BNROJKID7,3WSO80OI825B2ZWEEP4UF3E3XEE4L4,Predict future events related to criminal activity,Predict whether criminal offenders will commit future crimes based on demographics and criminal history. Earn up to $3 bonus for accuracy ($1.50 average).,"survey, demographics",$2.00,Thu Nov 19 16:06:28 PST 2020,10,BatchId:4256520;OriginalHitTemplateId:920937340;,3600,259200,Thu Nov 26 16:06:28 PST 2020,,,3Z7ISHFUH0VFNHPV13L18Y87ESEZ86,A1DX5NIUCDM9PO,Submitted,Thu Nov 19 16:40:27 PST 2020,Thu Nov 19 17:33:38 PST 2020,Sun Nov 22 17:33:38 PST 2020,,,,3191,0% (0/0),0% (0/0),0% (0/0),UcBIXZ,x,,UcBIXZ,Completed,78
