,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject,SurveyCode,Status,ID
0,3VEI3XUCZRXO4Z4RN1OXJX57PY6RPY,3WSO80OI825B2ZWEEP4UF3E3XEE4L4,Predict future events related to criminal activity,Predict whether criminal offenders will commit future crimes based on demographics and criminal history. Earn up to $3 bonus for accuracy ($1.50 average).,"survey, demographics",$2.00,Thu Nov 19 16:46:15 PST 2020,90,BatchId:4256551;OriginalHitTemplateId:920937340;,3600,259200,Thu Nov 19 20:29:48 PST 2020,,,30BUDKLTXDVYP4FX7I0LB4XYOW5E5E,A25R2OI9L2Q1OW,Submitted,Thu Nov 19 16:46:24 PST 2020,Thu Nov 19 17:35:01 PST 2020,Sun Nov 22 17:35:01 PST 2020,,,,2917,0% (0/0),0% (0/0),0% (0/0),f10CYL,x,,f10CYL,Completed,81.0
1,3VEI3XUCZRXO4Z4RN1OXJX57PY6RPY,3WSO80OI825B2ZWEEP4UF3E3XEE4L4,Predict future events related to criminal activity,Predict whether criminal offenders will commit future crimes based on demographics and criminal history. Earn up to $3 bonus for accuracy ($1.50 average).,"survey, demographics",$2.00,Thu Nov 19 16:46:15 PST 2020,90,BatchId:4256551;OriginalHitTemplateId:920937340;,3600,259200,Thu Nov 19 20:29:48 PST 2020,,,30ZX6P7VF8VE1NI2309EAD7E9UAJ23,A3908297ZI3LES,Submitted,Thu Nov 19 16:46:22 PST 2020,Thu Nov 19 17:04:03 PST 2020,Sun Nov 22 17:04:03 PST 2020,,,,1061,0% (0/0),0% (0/0),0% (0/0),FJR5vG,x,,FJR5vG,Completed,35.0
2,3VEI3XUCZRXO4Z4RN1OXJX57PY6RPY,3WSO80OI825B2ZWEEP4UF3E3XEE4L4,Predict future events related to criminal activity,Predict whether criminal offenders will commit future crimes based on demographics and criminal history. Earn up to $3 bonus for accuracy ($1.50 average).,"survey, demographics",$2.00,Thu Nov 19 16:46:15 PST 2020,90,BatchId:4256551;OriginalHitTemplateId:920937340;,3600,259200,Thu Nov 19 20:29:48 PST 2020,,,3137ONMDKG5W514HOEJCF1ONE5JGEY,ALEV75K5DJ6L0,Submitted,Thu Nov 19 16:53:25 PST 2020,Thu Nov 19 17:45:48 PST 2020,Sun Nov 22 17:45:48 PST 2020,,,,3143,0% (0/0),0% (0/0),0% (0/0),lBseDv,x,,lBseDv,Completed,43.0
3,3VEI3XUCZRXO4Z4RN1OXJX57PY6RPY,3WSO80OI825B2ZWEEP4UF3E3XEE4L4,Predict future events related to criminal activity,Predict whether criminal offenders will commit future crimes based on demographics and criminal history. Earn up to $3 bonus for accuracy ($1.50 average).,"survey, demographics",$2.00,Thu Nov 19 16:46:15 PST 2020,90,BatchId:4256551;OriginalHitTemplateId:920937340;,3600,259200,Thu Nov 19 20:29:48 PST 2020,,,3180JW2OT4C60K1PLJBC8KAQT41J54,A2R75YFKVALBXE,Submitted,Thu Nov 19 16:46:23 PST 2020,Thu Nov 19 17:02:02 PST 2020,Sun Nov 22 17:02:02 PST 2020,,,,939,0% (0/0),0% (0/0),0% (0/0),WprSvA,x,,WprSvA,Completed,13.0
4,3VEI3XUCZRXO4Z4RN1OXJX57PY6RPY,3WSO80OI825B2ZWEEP4UF3E3XEE4L4,Predict future events related to criminal activity,Predict whether criminal offenders will commit future crimes based on demographics and criminal history. Earn up to $3 bonus for accuracy ($1.50 average).,"survey, demographics",$2.00,Thu Nov 19 16:46:15 PST 2020,90,BatchId:4256551;OriginalHitTemplateId:920937340;,3600,259200,Thu Nov 19 20:29:48 PST 2020,,,31HQ4X3T3SAD1CN0000XHAXABDELSA,A2G7DTL156PTKA,Submitted,Thu Nov 19 16:46:22 PST 2020,Thu Nov 19 16:53:33 PST 2020,Sun Nov 22 16:53:33 PST 2020,,,,431,0% (0/0),0% (0/0),0% (0/0),TG7SJL,x,,TG7SJL,Completed,24.0
5,3VEI3XUCZRXO4Z4RN1OXJX57PY6RPY,3WSO80OI825B2ZWEEP4UF3E3XEE4L4,Predict future events related to criminal activity,Predict whether criminal offenders will commit future crimes based on demographics and criminal history. Earn up to $3 bonus for accuracy ($1.50 average).,"survey, demographics",$2.00,Thu Nov 19 16:46:15 PST 2020,90,BatchId:4256551;OriginalHitTemplateId:920937340;,3600,259200,Thu Nov 19 20:29:48 PST 2020,,,31T4R4OBOSGYFA92ZK9NJ0BRUQN7CT,A1TLQ6BTDQX7US,Submitted,Thu Nov 19 16:46:20 PST 2020,Thu Nov 19 17:07:02 PST 2020,Sun Nov 22 17:07:02 PST 2020,,,,1242,0% (0/0),0% (0/0),0% (0/0),cNHrsG,x,,cNHrsG,Completed,14.0
6,3VEI3XUCZRXO4Z4RN1OXJX57PY6RPY,3WSO80OI825B2ZWEEP4UF3E3XEE4L4,Predict future events related to criminal activity,Predict whether criminal offenders will commit future crimes based on demographics and criminal history. Earn up to $3 bonus for accuracy ($1.50 average).,"survey, demographics",$2.00,Thu Nov 19 16:46:15 PST 2020,90,BatchId:4256551;OriginalHitTemplateId:920937340;,3600,259200,Thu Nov 19 20:29:48 PST 2020,,,32VNZTT0A7452PG2FJ1B5JQ33P0R4Z,AQAXDL1INQC9Q,Submitted,Thu Nov 19 16:46:23 PST 2020,Thu Nov 19 17:27:25 PST 2020,Sun Nov 22 17:27:25 PST 2020,,,,2462,0% (0/0),0% (0/0),0% (0/0),g6O3Hl,x,,g6O3Hl,Completed,68.0
7,3VEI3XUCZRXO4Z4RN1OXJX57PY6RPY,3WSO80OI825B2ZWEEP4UF3E3XEE4L4,Predict future events related to criminal activity,Predict whether criminal offenders will commit future crimes based on demographics and criminal history. Earn up to $3 bonus for accuracy ($1.50 average).,"survey, demographics",$2.00,Thu Nov 19 16:46:15 PST 2020,90,BatchId:4256551;OriginalHitTemplateId:920937340;,3600,259200,Thu Nov 19 20:29:48 PST 2020,,,32XVDSJFPZX42VON6XM6Q5ZVDO5M2A,A3KF6O09H04SP7,Submitted,Thu Nov 19 16:46:24 PST 2020,Thu Nov 19 17:33:30 PST 2020,Sun Nov 22 17:33:30 PST 2020,,,,2826,0% (0/0),0% (0/0),0% (0/0),ywTrTh,,"
        Could not verify completion code. If you believe this is a mistake, please contact the requester.
        ",,,
8,3VEI3XUCZRXO4Z4RN1OXJX57PY6RPY,3WSO80OI825B2ZWEEP4UF3E3XEE4L4,Predict future events related to criminal activity,Predict whether criminal offenders will commit future crimes based on demographics and criminal history. Earn up to $3 bonus for accuracy ($1.50 average).,"survey, demographics",$2.00,Thu Nov 19 16:46:15 PST 2020,90,BatchId:4256551;OriginalHitTemplateId:920937340;,3600,259200,Thu Nov 19 20:29:48 PST 2020,,,33OOO72IVHLLD869CNCOOW39JNECTA,A34CPKFZXBX1PO,Submitted,Thu Nov 19 16:46:23 PST 2020,Thu Nov 19 17:19:30 PST 2020,Sun Nov 22 17:19:30 PST 2020,,,,1987,0% (0/0),0% (0/0),0% (0/0),r7mgA3,x,,r7mgA3,Completed,69.0
9,3VEI3XUCZRXO4Z4RN1OXJX57PY6RPY,3WSO80OI825B2ZWEEP4UF3E3XEE4L4,Predict future events related to criminal activity,Predict whether criminal offenders will commit future crimes based on demographics and criminal history. Earn up to $3 bonus for accuracy ($1.50 average).,"survey, demographics",$2.00,Thu Nov 19 16:46:15 PST 2020,90,BatchId:4256551;OriginalHitTemplateId:920937340;,3600,259200,Thu Nov 19 20:29:48 PST 2020,,,34BBWHLWHAB4ISW3Z2DLMJ830MGIW8,A3UEEIQ1XI25TS,Submitted,Thu Nov 19 16:46:19 PST 2020,Thu Nov 19 17:09:18 PST 2020,Sun Nov 22 17:09:18 PST 2020,,,,1379,0% (0/0),0% (0/0),0% (0/0),OSPa3I,x,,OSPa3I,Completed,54.0
